,v0,w0,v1,w1,payload,unit weight,m,Pmax,Pstable,M,r,P_ul,wheel_v1,wheel_v2,wheel_v3,wheel_v4,P_ut,P_useful,w2,v2,w3,v3,w4,v4
44,0.5,0.5,0.2,0.3,1,5.8,50,,93.49822946,55.8,0.6666666666666667,0.0,0.14040855565100013,0.14040855565100013,0.29379340104910456,0.29379340104910456,118.71949900094263,118.71949900094263,0.09,0.04000000000000001,0.027,0.008000000000000002,0.0081,0.0016000000000000005
45,0.0,0.0,0.3,0.3,2,5.8,50,203.93,146.89,61.6,1.0,0.0,0.23035746677718086,0.23035746677718086,0.39110684281919694,0.39110684281919694,187.58278720857072,187.58278720857072,0.09,0.09,0.027,0.027,0.0081,0.0081
46,0.0,0.0,0.1,0.3,2,5.8,50,152.23,134.62,61.6,0.33333333333333337,0.0,0.0797782081774215,0.0797782081774215,0.19915964074078862,0.19915964074078862,84.19460031747255,84.19460031747255,0.09,0.010000000000000002,0.027,0.0010000000000000002,0.0081,0.00010000000000000003
47,0.0,0.0,0.5,0.3,2,5.8,50,334.79,163.96,61.6,1.6666666666666667,0.0,0.4239865121675453,0.4239865121675453,0.5884424886936701,0.5884424886936701,305.59156961994927,305.59156961994927,0.09,0.25,0.027,0.125,0.0081,0.0625
48,0.5,0.5,0.2,0.3,2,5.8,50,,71.91296697,61.6,0.6666666666666667,0.0,0.14040855565100013,0.14040855565100013,0.29379340104910456,0.29379340104910456,131.05951861035962,131.05951861035962,0.09,0.04000000000000001,0.027,0.008000000000000002,0.0081,0.0016000000000000005
49,0.5,0.0,0.4,0.3,2,5.8,50,,90.74773405,61.6,1.3333333333333335,0.0,0.3262124499463502,0.3262124499463502,0.48950440498528713,0.48950440498528713,246.21597549256546,246.21597549256546,0.09,0.16000000000000003,0.027,0.06400000000000002,0.0081,0.025600000000000008
50,0.4,0.0,0.0,0.3,2,5.8,50,,61.67163291,61.6,0.0,0.0,0.1140813854228638,0.1140813854228638,0.1140813854228638,0.1140813854228638,68.86865075207443,68.86865075207443,0.09,0.0,0.027,0.0,0.0081,0.0
51,0.2,0.2,0.3,0.3,2,5.8,50,,167.8306489,61.6,1.0,0.0,0.23035746677718086,0.23035746677718086,0.39110684281919694,0.39110684281919694,187.58278720857072,187.58278720857072,0.09,0.09,0.027,0.027,0.0081,0.0081
52,0.0,0.0,0.0,0.4,0,5.8,50,172.17,128.87,50.0,0.0,0.0,0.15210851389715174,0.15210851389715174,0.15210851389715174,0.15210851389715174,74.53317180960437,74.53317180960437,0.16000000000000003,0.0,0.06400000000000002,0.0,0.025600000000000008,0.0
53,0.5,0.0,0.1,0.4,1,5.8,50,,135.029216,55.8,0.25,0.0,0.10458011283222064,0.10458011283222064,0.23523817717368925,0.23523817717368925,92.91311685341589,92.91311685341589,0.16000000000000003,0.010000000000000002,0.06400000000000002,0.0010000000000000002,0.025600000000000008,0.00010000000000000003
